element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
node,29990261,Karlsruhe,63,76133,Waldstraße,restaurant,mexican,Enchilada,Mo-Su 12:00-01:00,,yes,,,POINT (8.395546 49.0087284),,limited,DE,,,,,,,+49 721 1208885,https://karlsruhe.enchilada.de/,,,,Enchilada Karlsruhe GmbH,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,0,,,,,,,,yes,Karlsruhe,Enchilada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023107,Karlsruhe,60a,76137,Augartenstraße,restaurant,pizza,Gioia,Sa 08:30-22:00; Su 08:30-14:00,,yes,0721 – 38 46 980,,POINT (8.4100244 48.9989837),,no,,,,,,,,,,,,,,,2023-04-22,,,,,,,,,,,,yes,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023712,Karlsruhe,12,76137,Kantstraße,restaurant,greek;german,Panorama,"Mo-Fr 11:00-15:00, 17:00-00:00; Sa 17:00-00:00; Su 11:00-00:00",,,+49 721 68078539,http://www.panorama-karlsruhe.eu/,POINT (8.3939863 48.9978031),,yes,DE,,Zum Karlshof,,,,,,,,Radeberger,,,,,,,"""Zum Karlshof"" scheint ein alter Name zu sein, der aber noch am Haus angebracht ist.",,,,,,,,,,,,,,warme Küche von 11:30–22:30,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 11:30-15:00, 17:00-22:30; Sa 17:00-22:30; Su 11:30-22:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023723,,,76135,,restaurant,fish;pasta;fine_dining;italian,Ristorante Quintino,"Mo-Fr 11:00-14:00, 18:00-22:00; Sa 18:00-22:00",,,+49 721 848048,http://www.quintino-ristorante.de/,POINT (8.3839618 49.004552),,limited,,,,info@quintino-ristorante.de,,no,,,,,,,Frau Carmelo Ferro Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.quintino-ristorante.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023728,,218,76135,Kriegsstraße,restaurant,romanian;german;fish,Walachischer Kessel,"Mo-Fr 11:00-14:30, 17:00-22:00; Sa 12:00-23:00; Su,PH 12:00-22:00",,yes,,,POINT (8.3830837 49.0056563),,no,,,,,,,info@walachischer-kessel.de,+49 721 40246438,https://walachischer-kessel.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023735,Karlsruhe,59b,76133,Sophienstraße,restaurant,,Arena Balkan Bäckerei,Mo-Sa 06:00-21:00; Su 08:00-21:00,,,,,POINT (8.3882024 49.0074415),,no,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Badischer Hofladen;Pizzeria Centrale,,,,,,,,yes,yes,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30023741,,,76135,,restaurant,german,Großer Kurfürst,Mo-Th 16:00-24:00; Fr-Su 10:00-24:00,off,,+497218301881,http://www.grosserkurfuerst-karlsruhe.de,POINT (8.3853689 49.0077803),,no,,,,grosserkurfuerst@web.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30029831,Karlsruhe,27,76135,Nelkenstraße,restaurant,bavarian,Gasthaus Gutenberg,"Mo-Fr 11:30-15:00, Sa 10:00-23:00; PH,Su off, Mo-Fr 16:30-23:00",,yes,+49 721 9851516,https://www.gasthaus-gutenberg.de/,POINT (8.3762268 49.0087472),,limited,DE,Weststadt,,,yes,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gutenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030047,,,,,restaurant,,Hendl Cube,Mo-Su 11:30-21:00,,,,https://karlsruhe-kaiserallee.hendlcube.de/,POINT (8.3748618 49.0107214),,no,,,,,,,,,,,,,,,,,,,,,,,,2023-01-06,,no,,,,,,,,,,,,,,,,,,,,,Wienerwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030051,Karlsruhe,1,76185,Ludwig-Marum-Straße,restaurant,indian,Moghul Mahal,"Mo 18:00-23:30; Tu-Su 11:30-14:30,18:00-23:30",,,+49 721 848282,http://www.moghul-mahal.de,POINT (8.3746244 49.0131684),,yes,DE,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030059,Karlsruhe,79a,76133,Moltkestraße,restaurant,pizza,Pronto Pronto,Mo-Sa 11:00-22:30; Su 11:00-22:00,,,,,POINT (8.3753537 49.0150363),,limited,DE,,,,,,,+49 721 859762,http://www.prontopronto-karlsruhe.de/,,,,,,,,,,,,,yes,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-26,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030244,Karlsruhe,18,76133,Leopoldstraße,restaurant,thai,Bangkok Foodland,Mo-Su 11:30-23:00,,yes,,,POINT (8.3894816 49.0081887),,no,,,,,,,eberhardt.sunisa@gmail.com,+49 721 1305738;+49 721 60999977,https://www.bangkok-foodland.com,,,,,,2022-10-10,,,,,,,yes,,,,yes,,no,yes,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030260,Karlsruhe,2,76133,Gartenstraße,restaurant,italian,Trattoria Da Giovanni,"Su-Fr 12:00-14:00; We off, Mo-Su 17:30-22:30",,,,,POINT (8.3978793 49.0042953),,no,DE,Südweststadt,,,,,,+49 721 1614963,http://www.trattoria-da-giovanni.de,,Eichbaum,,,,2018-12,,,,,,,,,,,yes,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,100,yes,yes,50,no,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030263,Karlsruhe,2c,76137,Ettlinger Straße,restaurant,italian,Il Teatro²,"We-Mo 12:00-14:00,18:00-22:30; Tu off",,yes,+49 721 356566,https://www.ilteatro.de/,POINT (8.4025582 49.0040939),,yes,DE,,,,,,,,,,Hoepfner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030267,Karlsruhe,8,76137,Wilhelmstraße,restaurant,,Pizzeria Gigi,,,,,,POINT (8.4054197 49.0031279),no,no,DE,,,,,,,,,,,,,,,,,,,,,,,2023-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030268,,17,,Wilhelmstraße,restaurant,thai,Soong Hau,"Tu-Fr 11:30-14:30,17:00-22:00+; PH,Sa,Su 12:00-22:00+; Mo off",,,,http://thai-restaurant-karlsruhe.de/,POINT (8.4056911 49.0027877),,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-03,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30030269,Karlsruhe,19,76137,Wilhelmstraße,restaurant,chinese,King Seng,"Mo-Su 11:30-15:00,17:30-22:00",,,+49 721 38 94 82,https://www.king-seng.de/,POINT (8.4057447 49.0026983),,no,DE,,,,,,king-seng@gmx.de,,,,,,,,2023-01-11,,,,,,,,,,,yes,,,,,,,+49 721 4998928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30119975,Karlsruhe,47,76199,Lange Straße,restaurant,italian,Zum Lamm - Da Sandro,"Mo,Tu,Th,Fr 11:30-14:00,17:30-22:00; Sa 17:00-22:00",,yes,,http://www.zumlamm-dasandro.de/,POINT (8.4002587 48.9688811),,,,,,,,,,,,,,,,,2023-05-20,,,Warme Küche bis 21:30 Uhr,,survey,,yes,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31150959,,1,,Eckenerstraße,restaurant,thai,Rim Wang,"Tu-Sa 12:00-14:00, 17:30-23:00; PH,Su 12:00-22:30","Tu-Fr 11:30-14:30,17:30-21:00; Sa,Su 11:30-21:00",yes,,,POINT (8.3501063 49.005142),,no,,,,,,,rim-wang@mail.de,+49 721 697776,http://www.rim-wang.de,,,,Peter Brecht & Bonnchu Choti-Brecht GbR,yes,2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tu-Sa 12:00-14:00, 17:30-22:00; PH,Su 12:00-22:00",,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31151431,Karlsruhe,,76133,,restaurant,german,Gärtner Hütt,"Tu-Su 11:00-13:30,17:00+; Sa 17:00+",,,,,POINT (8.377209 49.0189964),,limited,DE,,,,,,,+49 721 94317222,http://www.gaertner-huett.de/,,,,,,2023-04-15,,,,,,,,,,no,yes,,,,,,,,no,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31261582,Karlsruhe,24,76131,Durlacher Allee,restaurant,burger,Die Zwiebel,"Mo-Fr 11:30-14:30,17:00-01:00, Sa 11:30-01:00, Su,PH 17:00-01:00, PH 11:30-17:00 off",,yes,,,POINT (8.4199904 49.0081716),,no,DE,Oststadt,,,,,diezwiebel@diezwiebel.net,+49 721 7228687,http://diezwiebel.net/,,Eichbaum,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,yes,,yes,yes,yes,,,,,,yes,,yes,,,,Foodora,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31261876,Karlsruhe,2,76131,Gerwigstraße,restaurant,burger,Oxford Café Ost,"Tu-Th, Su 11:30-01:00; Fr, Sa 11:30-02:00",,yes,,,POINT (8.4238287 49.0093568),,no,,,,,,,,+49 721 66384455,https://oxford-ost.de/,,Hoepfner,,Charles Oxford Karlsruhe GmbH,,,,2018-05-04,,,,,no,,,yes,yes,yes,outside,,,no,,,,,,,,,,,0,,,,,LiebesBeef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31261877,Karlsruhe,9,76131,Veilchenstraße,restaurant,german;pasta;mediterranean,Werkbank,"Mo, We-Su 17:30-21:00; Su 11:30-14:30; Tu closed",,,,,POINT (8.4283088 49.0100915),,yes,DE,,,,,no,willkommen@werkbank-karlsruhe.de,+49 721 78364711,http://werkbank-karlsruhe.de,,,,,,2023-01-08,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,"We-Mo 11:30-14:00,18:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,Am Eingang gibt es inzwischen eine türbreite Rampe mit leichter Steigung.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31262580,,,,,restaurant,italian,Il Caminetto,,,yes,,,POINT (8.407823 49.0102424),,no,,,,,,,,+49 721 380682,,,,,Anna Dlubak,,,,,,,,,,,,no,yes,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ilcaminettokarlsruhe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,34984249,Karlsruhe,8,76189,Hohleichweg,restaurant,regional;croatian,Naturfreundehaus Rheinwaldhütte,,,,,,POINT (8.3181111 49.0079523),,yes,DE,,,,,yes,,,www.beimiri.de,,,,NaturFreunde Deutschland,,,,,,,Datenspende der NaturFreunde Deutschland,,,,,,,,,yes,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,,,,,,,,,,,,,www.facebook.de/beimiri,laut Datenspende 70 m SW,yes,female_toilet,L 064,no,flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,41263095,Karlsruhe,276,76135,Kriegsstraße,restaurant,international,Rote Taube,Mo-Fr 11:30-14:00; Mo-Su 17:00-01:00,,yes,,,POINT (8.3722808 49.0057013),,limited,DE,Weststadt,,,,,hallo@rote-taube.de,+49 721 855117,https://www.rote-taube.de/,,Hoepfner,,Tobias Meier,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,52664989,,,,,restaurant,,Restaurant Panoramic,"""Geöffnet nur mit vorheriger Reservierung""",,,,http://www.restaurantpanoramic.de/,POINT (8.3919549 49.0437218),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,53972837,Karlsruhe,6,76131,Schlossbezirk,restaurant,,Badische Weinstuben,,,yes,,https://badische-weinstuben.de/,POINT (8.4010799 49.0139471),,no,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,55438966,Karlsruhe,,76149,,restaurant,,Badnerland,,,,,,POINT (8.3832323 49.0448168),,no,DE,,,,,,,+49 721 785188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59172382,Karlsruhe,3,76199,Gottlob-Schreber-Weg,restaurant,greek,Gartenzwerg,"Mo-Su, Ph 10:00-22:00",,yes,,,POINT (8.3925335 48.9773426),,limited,DE,Weiherfeld-Dammerstock,,,,no,info@gartenzwerg-karlsruhe.de,+49 721 8931150,http://www.gartenzwerg-karlsruhe.de/,,,,Theo Parcharidis,,,,,,,,Weiherfeld,,,,,,,,,,,,+49 721 8931149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60247330,,,,,restaurant,,Sonnenhof,,,,,,POINT (8.3809563 49.0506626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60247928,Karlsruhe,30,76149,Teutschneureuter Straße,restaurant,german;regional,Deutscher Kaiser,"Th-Mo 17:30-24:00, Su 11:30-15:00,17:30-24:00",,yes,,,POINT (8.383718 49.0535104),,,,,,,,,info@dk-neureut.de,+49 178 1888551,https://www.deutscher-kaiser-neureut.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fam. Grimberger,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,69119726,Karlsruhe,18a,76137,Beiertheimer Allee,restaurant,regional,Alter Brauhof,Tu-Sa 17:00-23:00,,yes,,http://www.alterbrauhof.de/,POINT (8.3969911 49.0014604),,limited,DE,,,,,,,+49 721 34044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,69119750,Karlsruhe,10,76133,Kreuzstraße,restaurant,,Schwarzer Kater,"Mo-Th 12:00-01:00, Fr,Sa 12:00-03:00, Su 12:00-20:00",,yes,,,POINT (8.4051043 49.0090325),,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,Litfass Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,73930023,Karlsruhe,33,76149,Bärenweg,restaurant,italian,La Signora,"Mo-Fr 08:00-12:30,14:30-18:30; Sa 08:00-13:00",,,,,POINT (8.3813586 49.0451533),,limited,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,96039171,,,,,restaurant,,Salmen,"Mo-Th 08:00-01:00; Fr,Sa 08:00-02:00;Sa-Su 08:00-01:00",,yes,,,POINT (8.3966278 49.008907),,no,,,,,,,info@salmen-ka.de,+49 721 1511438,http://www.salmen-ka.de/,,,,Salmen GmbH,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mehrere Stufen am Eingang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,96039197,,,,,restaurant,portuguese,Tasca do José,Mo-Fr 17:00-23:00; Sa 12:00-23:00; Su off,,,,,POINT (8.3930389 49.007512),,limited,,,,,,,reservierung@tascadojose.de,+49 721 96316246,http://www.tascadojose.de,,,,José Vasconcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portale 50 Ristorante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/tascadojose/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
